Q1,Q2_1,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q9_1,Q3_total,Q8_total,numerical_total
AAC195,5,4.0,5,5,2.0,4.0,5,4.0,4.0,4.0,5.0,4,5.0,5,10,4.142857142857143,4.5,4.733333333333333
AAR258,5,5.0,5,5,5.0,5.0,5,5.0,5.0,5.0,5.0,5,5.0,5,10,5.0,5.0,5.333333333333333
ABD100,3,3.0,3,3,2.0,4.0,5,1.0,3.0,3.0,4.0,2,3.0,5,7,3.0,3.3333333333333335,3.4
ACP214,5,5.0,5,5,5.0,5.0,5,5.0,5.0,5.0,5.0,5,5.0,5,10,5.0,5.0,5.333333333333333
AG2230,5,5.0,5,5,4.0,4.0,5,3.0,3.0,3.0,3.0,3,5.0,4,8,4.428571428571429,3.5,4.333333333333333
AGG108,5,3.0,4,4,2.0,2.0,5,2.0,4.0,4.0,4.0,4,4.0,4,8,3.142857142857143,4.0,3.933333333333333
AIT22,5,4.0,3,5,3.0,3.0,5,2.0,4.0,4.0,4.0,4,4.0,4,10,3.5714285714285716,4.0,4.266666666666667
AK1709,5,5.0,5,5,5.0,5.0,5,4.0,5.0,5.0,5.0,4,5.0,5,10,4.857142857142857,4.833333333333333,5.2
AK1863,5,3.0,5,4,3.0,3.0,5,2.0,5.0,4.0,4.0,4,4.0,4,8,3.5714285714285716,4.166666666666667,4.2
AKR83,5,4.0,4,4,4.0,4.0,4,4.0,4.0,4.0,4.0,4,4.0,4,10,4.0,4.0,4.466666666666667
AMC754,5,5.0,5,5,4.0,4.0,5,4.0,5.0,5.0,5.0,5,5.0,5,10,4.571428571428571,5.0,5.133333333333334
ANH90,5,5.0,5,5,5.0,5.0,5,5.0,5.0,5.0,5.0,5,5.0,5,4,5.0,5.0,4.933333333333334
AR1522,5,5.0,5,5,3.0,3.0,5,3.0,5.0,5.0,5.0,5,5.0,5,10,4.142857142857143,5.0,4.933333333333334
AS3257,5,5.0,5,5,5.0,5.0,5,5.0,5.0,3.0,5.0,5,5.0,5,10,5.0,4.666666666666667,5.2
CO384,5,4.0,3,4,2.0,2.0,4,2.0,3.0,4.0,4.0,3,3.0,4,10,3.0,3.5,3.8
CRK117,5,5.0,5,5,5.0,5.0,5,4.0,4.0,5.0,5.0,4,5.0,5,10,4.857142857142857,4.666666666666667,5.133333333333334
DE252,4,4.0,4,5,4.0,4.0,4,2.0,4.0,4.0,4.0,4,4.0,4,6,3.857142857142857,4.0,4.066666666666666
DJS481,5,4.0,4,5,3.0,3.0,5,2.0,2.0,2.0,2.0,1,2.0,3,6,3.7142857142857144,2.0,3.2666666666666666
DKD74,5,5.0,5,5,5.0,5.0,5,5.0,3.0,5.0,2.0,4,3.0,3,10,5.0,3.3333333333333335,4.666666666666667
DTL59,5,2.0,5,3,5.0,5.0,5,2.0,3.0,3.0,3.0,3,3.0,3,8,3.857142857142857,3.0,3.8666666666666667
DV427,5,,2,5,2.0,1.0,5,3.0,3.0,5.0,1.0,2,5.0,4,8,3.0,3.3333333333333335,3.642857142857143
EBM87,5,5.0,5,5,5.0,5.0,5,5.0,5.0,5.0,5.0,5,5.0,5,10,5.0,5.0,5.333333333333333
EH374,5,5.0,5,5,5.0,5.0,5,5.0,5.0,5.0,5.0,5,5.0,5,10,5.0,5.0,5.333333333333333
EIA16,5,5.0,5,5,5.0,5.0,5,5.0,5.0,3.0,4.0,4,5.0,5,10,5.0,4.333333333333333,5.066666666666666
EP692,5,4.0,3,5,4.0,3.0,5,2.0,2.0,5.0,5.0,3,3.0,4,8,3.7142857142857144,3.6666666666666665,4.066666666666666
ES1210,4,4.0,3,5,2.0,2.0,5,3.0,4.0,5.0,3.0,4,3.0,5,7,3.4285714285714284,4.0,3.933333333333333
GMH100,4,3.0,5,5,5.0,4.0,5,5.0,1.0,,1.0,1,1.0,2,7,4.571428571428571,1.2,3.5
HC1000,5,5.0,5,4,3.0,4.0,5,4.0,5.0,4.0,5.0,5,5.0,4,10,4.285714285714286,4.666666666666667,4.866666666666666
HG295,4,5.0,5,5,5.0,4.0,5,4.0,5.0,5.0,5.0,5,5.0,5,10,4.714285714285714,5.0,5.133333333333334
HS1154,5,4.0,5,4,3.0,4.0,4,1.0,5.0,3.0,4.0,4,4.0,3,9,3.5714285714285716,3.8333333333333335,4.133333333333334
HT372,5,3.0,5,3,2.0,2.0,5,2.0,3.0,4.0,4.0,2,3.0,5,8,3.142857142857143,3.5,3.7333333333333334
IGE8,5,4.0,5,5,2.0,3.0,5,2.0,5.0,5.0,3.0,3,3.0,3,10,3.7142857142857144,3.6666666666666665,4.2
IJ91,5,5.0,4,5,3.0,2.0,5,3.0,4.0,4.0,4.0,2,5.0,3,9,3.857142857142857,3.6666666666666665,4.2
JD1711,5,5.0,4,5,3.0,3.0,5,3.0,5.0,4.0,4.0,5,5.0,5,10,4.0,4.666666666666667,4.733333333333333
JF1142,5,5.0,5,5,5.0,5.0,5,5.0,5.0,5.0,5.0,5,5.0,5,10,5.0,5.0,5.333333333333333
JG1512,5,5.0,4,4,2.0,3.0,5,3.0,4.0,3.0,4.0,4,4.0,4,7,3.7142857142857144,3.8333333333333335,4.066666666666666
JLB720,5,3.0,3,5,1.0,5.0,5,1.0,4.0,4.0,3.0,3,4.0,3,9,3.2857142857142856,3.5,3.8666666666666667
JM2722,4,5.0,4,5,3.0,3.0,5,2.0,3.0,1.0,3.0,5,5.0,5,8,3.857142857142857,3.6666666666666665,4.066666666666666
JM3019,4,3.0,2,4,3.0,3.0,5,2.0,2.0,3.0,3.0,2,4.0,4,6,3.142857142857143,3.0,3.3333333333333335
JMD615,5,5.0,5,5,5.0,5.0,5,5.0,4.0,4.0,4.0,4,3.0,5,9,5.0,4.0,4.866666666666666
