,Q2_1,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q9_1,Q3_total,Q8_total,numerical_total
2,3,4.0,4,4,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,4.142857142857143,5.0,4.8
3,3,2.0,2,4,1.0,4.0,5.0,1.0,4.0,3.0,4.0,1.0,4.0,5.0,8.0,2.7142857142857144,3.5,3.4
4,5,4.0,1,5,1.0,5.0,5.0,1.0,4.0,2.0,2.0,1.0,4.0,5.0,9.0,3.142857142857143,3.0,3.6
5,5,5.0,4,5,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,9.0,4.428571428571429,5.0,5.0
6,5,5.0,5,5,3.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,4.142857142857143,5.0,4.933333333333334
7,5,5.0,5,5,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,4.571428571428571,5.0,5.133333333333334
8,4,4.0,4,4,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,4.0,5.0,4.8
9,5,5.0,5,5,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,4.571428571428571,5.0,5.133333333333334
10,4,5.0,4,4,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,4.571428571428571,5.0,5.066666666666666
11,4,4.0,4,4,2.0,3.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,10.0,3.5714285714285716,3.1666666666666665,3.8666666666666667
12,5,5.0,4,5,5.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,9.0,4.571428571428571,3.6666666666666665,4.533333333333333
13,5,5.0,4,4,5.0,5.0,5.0,4.0,2.0,3.0,2.0,1.0,2.0,3.0,8.0,4.571428571428571,2.1666666666666665,3.8666666666666667
14,5,5.0,4,5,3.0,2.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,9.0,3.857142857142857,4.333333333333333,4.466666666666667
15,5,4.0,4,4,5.0,5.0,4.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,5.0,3.857142857142857,2.6666666666666665,3.533333333333333
16,3,4.0,4,5,,,5.0,,4.0,4.0,4.0,4.0,4.0,4.0,6.0,4.5,4.0,4.25
17,4,4.0,4,4,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0,3.857142857142857,4.0,4.2
18,4,4.0,2,4,2.0,2.0,5.0,2.0,3.0,4.0,4.0,3.0,5.0,5.0,8.0,3.0,4.0,3.8
19,5,5.0,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.333333333333333
20,5,4.0,5,5,2.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,10.0,4.142857142857143,4.5,4.733333333333333
21,5,3.0,3,5,2.0,4.0,5.0,1.0,3.0,2.0,2.0,1.0,3.0,5.0,9.0,3.2857142857142856,2.6666666666666665,3.533333333333333
22,4,5.0,4,5,3.0,3.0,5.0,2.0,3.0,1.0,3.0,5.0,5.0,5.0,8.0,3.857142857142857,3.6666666666666665,4.066666666666666
23,5,5.0,5,5,5.0,5.0,5.0,5.0,2.0,1.0,3.0,2.0,3.0,2.0,10.0,5.0,2.1666666666666665,4.2
24,2,2.0,0,4,0.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,4.0,3.0,3.0,1.7142857142857142,2.6666666666666665,2.2
25,4,4.0,2,5,2.0,2.0,5.0,2.0,1.0,5.0,2.0,2.0,3.0,3.0,10.0,3.142857142857143,2.6666666666666665,3.466666666666667
26,5,4.0,4,4,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,8.0,3.5714285714285716,3.3333333333333335,3.8666666666666667
27,5,4.0,5,5,2.0,3.0,5.0,2.0,5.0,5.0,3.0,3.0,3.0,3.0,10.0,3.7142857142857144,3.6666666666666665,4.2
28,4,4.0,3,5,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0,3.5714285714285716,4.0,4.066666666666666
29,5,5.0,5,5,4.0,3.0,5.0,2.0,4.0,4.0,2.0,3.0,5.0,4.0,10.0,4.142857142857143,3.6666666666666665,4.4
30,5,5.0,5,5,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,10.0,5.0,4.5,5.133333333333334
31,5,5.0,5,5,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,10.0,4.857142857142857,4.666666666666667,5.133333333333334
32,5,5.0,5,5,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,8.0,4.571428571428571,4.5,4.8
33,4,5.0,3,3,3.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,,3.7142857142857144,5.0,4.285714285714286
34,5,5.0,4,5,4.0,5.0,5.0,3.0,5.0,5.0,3.0,3.0,4.0,5.0,9.0,4.428571428571429,4.166666666666667,4.666666666666667
35,5,5.0,4,3,4.0,5.0,5.0,3.0,1.0,3.0,5.0,3.0,4.0,5.0,8.0,4.142857142857143,3.5,4.2
36,3,2.0,3,5,2.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,1.0,2.4
37,5,5.0,1,3,5.0,2.0,5.0,3.0,5.0,5.0,5.0,2.0,5.0,5.0,10.0,3.4285714285714284,4.5,4.4
38,4,3.0,5,5,5.0,4.0,5.0,5.0,1.0,,1.0,1.0,1.0,2.0,7.0,4.571428571428571,1.2,3.5
39,5,5.0,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.333333333333333
40,5,3.0,4,4,2.0,2.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0,3.142857142857143,4.0,3.933333333333333
41,4,5.0,3,4,1.0,1.0,4.0,1.0,4.0,3.0,3.0,2.0,3.0,5.0,10.0,2.7142857142857144,3.3333333333333335,3.533333333333333
42,4,5.0,4,3,5.0,4.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,10.0,4.142857142857143,4.333333333333333,4.6
43,4,4.0,3,3,2.0,3.0,4.0,2.0,4.0,2.0,2.0,2.0,3.0,4.0,7.0,3.0,2.8333333333333335,3.2666666666666666
44,5,5.0,5,5,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,9.0,5.0,4.5,5.066666666666666
45,5,5.0,5,5,5.0,5.0,5.0,3.0,5.0,3.0,4.0,4.0,4.0,5.0,9.0,4.714285714285714,4.166666666666667,4.8
46,5,4.0,4,4,2.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,9.0,3.5714285714285716,4.166666666666667,4.266666666666667
47,4,4.0,3,5,3.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,9.0,3.857142857142857,5.0,4.666666666666667
48,4,2.0,4,5,3.0,2.0,5.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0,10.0,3.142857142857143,3.0,3.6
49,5,4.0,4,5,3.0,4.0,5.0,3.0,4.0,3.0,4.0,1.0,4.0,4.0,9.0,4.0,3.3333333333333335,4.133333333333334
50,5,5.0,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.333333333333333
51,4,3.0,3,5,4.0,4.0,5.0,3.0,5.0,3.0,5.0,4.0,5.0,4.0,8.0,3.857142857142857,4.333333333333333,4.333333333333333
52,4,4.0,5,5,2.0,2.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,9.0,3.7142857142857144,4.833333333333333,4.533333333333333
53,5,4.0,4,5,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,9.0,4.571428571428571,4.333333333333333,4.8
54,4,2.0,4,5,3.0,3.0,5.0,2.0,3.0,1.0,2.0,2.0,1.0,4.0,8.0,3.4285714285714284,2.1666666666666665,3.2666666666666666
55,5,3.0,5,3,2.0,2.0,5.0,2.0,3.0,4.0,4.0,2.0,3.0,5.0,8.0,3.142857142857143,3.5,3.7333333333333334
56,3,3.0,2,3,1.0,3.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,9.0,2.5714285714285716,5.0,4.0
57,5,5.0,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,9.0,5.0,5.0,5.266666666666667
58,5,5.0,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.333333333333333
59,5,4.0,4,5,3.0,3.0,5.0,3.0,4.0,5.0,3.0,3.0,4.0,5.0,8.0,3.857142857142857,4.0,4.266666666666667
60,5,3.0,5,5,3.0,4.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,3.0,10.0,3.857142857142857,3.6666666666666665,4.266666666666667
