Q1,Q2_1,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q9_1,Q3_total,Q8_total,numerical_total
AAC195,4,1.0,3.0,5.0,1.0,3.0,4,1.0,3.0,2.0,4.0,4.0,5.0,2.0,5.0,2.5714285714285716,3.3333333333333335,3.1333333333333333
AAR258,4,4.0,4.0,4.0,4.0,4.0,4,3.0,2.0,1.0,3.0,1.0,3.0,3.0,8.0,3.857142857142857,2.1666666666666665,3.466666666666667
ABD100,3,5.0,3.0,3.0,2.0,4.0,5,1.0,1.0,1.0,2.0,,2.0,3.0,4.0,3.2857142857142856,1.8,2.7857142857142856
ACP214,5,5.0,5.0,5.0,5.0,5.0,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,5.0,5.0,5.2
AG2230,5,4.0,4.0,5.0,3.0,3.0,4,3.0,3.0,1.0,3.0,3.0,5.0,5.0,7.0,3.7142857142857144,3.3333333333333335,3.8666666666666667
AGG108,4,4.0,5.0,5.0,,,5,,4.0,5.0,4.0,3.0,5.0,5.0,4.0,4.75,4.333333333333333,4.416666666666667
AIT22,5,3.0,5.0,5.0,2.0,2.0,5,1.0,2.0,3.0,4.0,4.0,5.0,3.0,10.0,3.2857142857142856,3.5,3.933333333333333
AK1709,5,5.0,5.0,5.0,5.0,5.0,5,3.0,5.0,5.0,5.0,2.0,5.0,3.0,10.0,4.714285714285714,4.166666666666667,4.866666666666666
AK1863,4,2.0,5.0,1.0,2.0,2.0,5,2.0,4.0,2.0,3.0,3.0,3.0,3.0,6.0,2.7142857142857144,3.0,3.1333333333333333
AKR83,5,4.0,4.0,4.0,4.0,4.0,5,4.0,4.0,4.0,4.0,4.0,4.0,3.0,9.0,4.142857142857143,3.8333333333333335,4.4
AMC754,5,4.0,5.0,5.0,4.0,5.0,5,4.0,2.0,3.0,3.0,2.0,3.0,4.0,10.0,4.571428571428571,2.8333333333333335,4.266666666666667
ANH90,4,5.0,5.0,5.0,5.0,5.0,5,5.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0,5.0,4.0,4.733333333333333
AR1522,5,3.0,5.0,5.0,3.0,5.0,5,3.0,5.0,3.0,5.0,3.0,5.0,5.0,8.0,4.142857142857143,4.333333333333333,4.533333333333333
AS3257,5,5.0,5.0,5.0,5.0,5.0,5,4.0,4.0,2.0,4.0,3.0,5.0,5.0,9.0,4.857142857142857,3.8333333333333335,4.733333333333333
CO384,3,2.0,4.0,4.0,1.0,3.0,5,1.0,1.0,1.0,2.0,0.0,2.0,4.0,3.0,2.857142857142857,1.6666666666666667,2.4
CRK117,5,4.0,5.0,5.0,5.0,5.0,5,4.0,1.0,1.0,2.0,1.0,2.0,4.0,7.0,4.714285714285714,1.8333333333333333,3.7333333333333334
DE252,3,4.0,4.0,5.0,3.0,4.0,5,2.0,4.0,1.0,3.0,2.0,5.0,4.0,8.0,3.857142857142857,3.1666666666666665,3.8
DJS481,5,5.0,5.0,5.0,3.0,3.0,5,2.0,3.0,4.0,,4.0,4.0,4.0,8.0,4.0,3.8,4.285714285714286
DKD74,5,5.0,5.0,5.0,5.0,5.0,5,5.0,4.0,3.0,4.0,3.0,4.0,3.0,7.0,5.0,3.5,4.533333333333333
