,Q2_1,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q9_1
4,3.0,3.0,2.0,4.0,3.0,3.0,5.0,1.0,1.0,1.0,2.0,2.0,4.0,5.0,6.0
5,4.0,5.0,5.0,5.0,3.0,4.0,5.0,3.0,3.0,1.0,2.0,1.0,3.0,4.0,8.0
6,2.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,5.0
7,4.0,4.0,4.0,5.0,2.0,2.0,5.0,3.0,4.0,0.0,2.0,2.0,4.0,3.0,6.0
8,4.0,4.0,3.0,4.0,2.0,1.0,4.0,1.0,5.0,4.0,5.0,4.0,5.0,5.0,8.0
9,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,1.0,2.0,1.0,2.0,4.0,7.0
10,3.0,1.0,3.0,3.0,1.0,5.0,5.0,1.0,1.0,2.0,2.0,,2.0,2.0,7.0
11,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,9.0
12,1.0,2.0,5.0,2.0,0.0,0.0,2.0,0.0,5.0,3.0,5.0,5.0,5.0,5.0,8.0
13,5.0,4.0,5.0,5.0,1.0,3.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0
14,5.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,3.0,9.0
15,5.0,4.0,3.0,4.0,3.0,4.0,5.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,8.0
16,4.0,3.0,5.0,5.0,3.0,4.0,5.0,3.0,1.0,1.0,2.0,3.0,5.0,2.0,5.0
17,5.0,5.0,2.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,1.0,1.0,5.0,5.0,9.0
18,4.0,4.0,5.0,2.0,2.0,1.0,5.0,2.0,2.0,2.0,3.0,2.0,5.0,4.0,5.0
19,5.0,5.0,4.0,5.0,1.0,2.0,5.0,2.0,5.0,3.0,5.0,5.0,5.0,5.0,10.0
20,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0
21,3.0,2.0,3.0,5.0,3.0,3.0,5.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,7.0
22,4.0,4.0,4.0,4.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,7.0
